# 2024/03/09 - 07:21 | PDB: 10.24 | UniProt: 2024.02
PDB,CHAIN,ACCESSION,EC_NUMBER
4xsq,A,C3YZ59,?
4xsq,B,C3YZ59,?
4xsr,A,Q8YQW3,?
4xsr,B,Q8YQW3,?
4xss,B,P05019,?
4xss,E,P06213,2.7.10.1
4xss,F,P08069,2.7.10.1
4xst,E,P06213,2.7.10.1
4xst,F,P15127,2.7.10.1
4xsu,A,Q8YQW3,2.4.1.-
4xsu,B,Q8YQW3,2.4.1.-
4xsv,A,Q99447,2.7.7.14
4xsx,A,A7ZSI4,2.7.7.6
4xsx,B,A7ZSI4,2.7.7.6
4xsx,C,A7ZUK1,2.7.7.6
4xsx,D,A7ZUK2,2.7.7.6
4xsx,E,A8ARN6,2.7.7.6
4xsx,F,P00579,?
4xsx,G,A7ZSI4,2.7.7.6
4xsx,H,A7ZSI4,2.7.7.6
4xsx,I,A7ZUK1,2.7.7.6
4xsx,J,A7ZUK2,2.7.7.6
4xsx,K,A8ARN6,2.7.7.6
4xsx,L,P00579,?
4xsy,A,A7ZSI4,2.7.7.6
4xsy,B,A7ZSI4,2.7.7.6
4xsy,C,A7ZUK1,2.7.7.6
4xsy,D,A7ZUK2,2.7.7.6
4xsy,E,A8ARN6,2.7.7.6
4xsy,F,P00579,?
4xsy,G,A7ZSI4,2.7.7.6
4xsy,H,A7ZSI4,2.7.7.6
4xsy,I,A7ZUK1,2.7.7.6
4xsy,J,A7ZUK2,2.7.7.6
4xsy,K,A8ARN6,2.7.7.6
4xsy,L,P00579,?
4xsz,A,A7ZSI4,2.7.7.6
4xsz,B,A7ZSI4,2.7.7.6
4xsz,C,A7ZUK1,2.7.7.6
4xsz,D,A7ZUK2,2.7.7.6
4xsz,E,B1IYV1,2.7.7.6
4xsz,F,P00579,?
4xsz,G,A7ZSI4,2.7.7.6
4xsz,H,A7ZSI4,2.7.7.6
4xsz,I,A7ZUK1,2.7.7.6
4xsz,J,A7ZUK2,2.7.7.6
4xsz,K,B1IYV1,2.7.7.6
4xsz,L,P00579,?
4xt0,A,G2IN92,?
4xt1,A,P69332,?
4xt1,B,P78423,?
4xt2,A,Q99814,?
4xt2,B,P27540,?
4xt2,C,Q99814,?
4xt2,D,P27540,?
4xt3,A,P69332,?
4xt3,B,P78423,?
4xt4,A,P71968,?
4xt5,A,P71968,?
4xt6,A,P71968,?
4xt7,A,P71968,?
4xt8,A,P71968,?
4xt9,A,P51449,?
4xta,A,P37231,?
4xta,B,P37231,?
4xtb,A,Q8NE86,?
4xtc,M,Q9KWT8,?
4xtc,N,Q9KWT7,?
4xtc,Q,Q9KWT5,?
4xtc,S,Q9KWT9,?
4xtc,T,Q9KWT9,?
4xtd,A,Q756Z6,1.1.1.205
4xtd,B,Q756Z6,1.1.1.205
4xti,A,Q756Z6,1.1.1.205
4xti,B,Q756Z6,1.1.1.205
4xtj,A,P0AES6,5.6.2.2
4xtk,A,Q9X2B7,3.1.-.-
4xtk,B,Q9X2B7,3.1.-.-
4xtk,C,Q9X2B7,3.1.-.-
4xtk,D,Q9X2B7,3.1.-.-
4xtk,E,Q9X2B7,3.1.-.-
4xtk,F,Q9X2B7,3.1.-.-
4xtk,G,Q9X2B7,3.1.-.-
4xtk,H,Q9X2B7,3.1.-.-
4xtl,A,N0DKS8,?
4xtm,A,P81371,?
4xtn,A,N0DKS8,?
4xtn,B,N0DKS8,?
4xtn,C,N0DKS8,?
4xtn,D,N0DKS8,?
4xtn,E,N0DKS8,?
4xtn,F,N0DKS8,?
4xtn,G,N0DKS8,?
4xtn,H,N0DKS8,?
4xtn,I,N0DKS8,?
4xtn,J,N0DKS8,?
4xto,A,N0DKS8,?
4xto,B,N0DKS8,?
4xto,C,N0DKS8,?
4xto,D,N0DKS8,?
4xto,E,N0DKS8,?
4xtp,A,P81371,?
4xtq,A,B3Q7C0,?
4xtr,A,Q12154,3.6.-.-
4xtr,B,Q12154,3.6.-.-
4xts,A,P0A251,1.11.1.26
4xts,B,P0A251,1.11.1.26
4xts,C,P0A251,1.11.1.26
4xts,D,P0A251,1.11.1.26
4xts,E,P0A251,1.11.1.26
4xts,F,P0A251,1.11.1.26
4xts,G,P0A251,1.11.1.26
4xts,H,P0A251,1.11.1.26
4xts,I,P0A251,1.11.1.26
4xts,J,P0A251,1.11.1.26
4xts,K,P0A251,1.11.1.26
4xts,L,P0A251,1.11.1.26
4xts,M,P0A251,1.11.1.26
4xts,N,P0A251,1.11.1.26
4xts,O,P0A251,1.11.1.26
4xts,P,P0A251,1.11.1.26
4xts,Q,P0A251,1.11.1.26
4xts,R,P0A251,1.11.1.26
4xts,S,P0A251,1.11.1.26
4xts,T,P0A251,1.11.1.26
4xtt,A,A0A0M3KL06,?
4xtt,B,A0A0M3KL06,?
4xtu,A,I6YFP0,6.3.4.15
4xtu,B,I6YFP0,6.3.4.15
4xtv,A,I6YFP0,6.3.4.15
4xtv,B,I6YFP0,6.3.4.15
4xtw,A,I6YFP0,6.3.4.15
4xtw,B,I6YFP0,6.3.4.15
4xtx,A,I6YFP0,6.3.4.15
4xtx,B,I6YFP0,6.3.4.15
4xty,A,I6YFP0,6.3.4.15
4xty,B,I6YFP0,6.3.4.15
4xtz,A,I6YFP0,6.3.4.15
4xtz,B,I6YFP0,6.3.4.15
4xu0,A,I6YFP0,6.3.4.15
4xu0,B,I6YFP0,6.3.4.15
4xu1,A,I6YFP0,6.3.4.15
4xu1,B,I6YFP0,6.3.4.15
4xu2,A,I6YFP0,6.3.4.15
4xu2,B,I6YFP0,6.3.4.15
4xu3,A,I6YFP0,6.3.4.15
4xu3,B,I6YFP0,6.3.4.15
4xu4,A,A1T557,?
4xu5,A,A1T557,?
4xu6,A,A1T557,?
4xua,A,Q9UIF8,?
4xub,A,Q9UIF8,?
4xuc,A,P21964,2.1.1.6
4xud,A,P21964,2.1.1.6
4xue,A,P21964,2.1.1.6
4xue,B,P21964,2.1.1.6
4xuf,A,P36888,2.7.10.1
4xuf,B,P36888,2.7.10.1
4xug,A,P00929,4.2.1.20
4xug,B,P0A2K1,4.2.1.20
4xuh,A,P37231,?
4xuh,B,P37231,?
4xui,A,P25779,3.4.22.51
4xui,B,P25779,3.4.22.51
4xui,C,P25779,3.4.22.51
4xuj,A,P84233,?
4xuj,B,P62799,?
4xuj,C,P06897,?
4xuj,D,P02281,?
4xuj,E,P84233,?
4xuj,F,P62799,?
4xuj,G,P06897,?
4xuj,H,P02281,?
4xuk,A,G7GD18,?
4xuk,B,G7GD18,?
4xul,A,G5CQN7,?
4xum,A,P37231,?
4xum,B,P37231,?
4xun,A,O69230,3.2.1.8
4xun,B,O69230,3.2.1.8
4xun,C,O69230,3.2.1.8
4xuo,A,O69230,3.2.1.8
4xuo,B,O69230,3.2.1.8
4xup,A,O69230,3.2.1.8
4xup,B,O69230,3.2.1.8
4xup,C,O69230,3.2.1.8
4xup,D,O69230,3.2.1.8
4xup,E,O69230,3.2.1.8
4xup,F,O69230,3.2.1.8
4xuq,A,O69230,3.2.1.8
4xuq,B,O69230,3.2.1.8
4xuq,C,O69230,3.2.1.8
4xur,A,O69230,3.2.1.8
4xur,B,O69230,3.2.1.8
4xur,C,O69230,3.2.1.8
4xus,A,Q9UGP5,2.7.7.7
4xus,A,Q9UGP5,4.2.99.-
4xut,A,O69230,3.2.1.8
4xut,B,O69230,3.2.1.8
4xut,C,O69230,3.2.1.8
4xuu,A,Q9Y2H2,3.1.3.25
4xuu,B,Q9Y2H2,3.1.3.25
4xuu,C,Q9Y2H2,3.1.3.25
4xuu,D,Q9Y2H2,3.1.3.25
4xuv,A,G2QVG2,?
4xuv,B,G2QVG2,?
4xuw,A,Q9ATH2,?
4xuw,B,Q9ATH2,?
4xux,A,P05364,3.5.2.6
4xuy,A,A2QFV7,3.2.1.8
4xuy,B,A2QFV7,3.2.1.8
4xuz,A,S5LVN3,3.5.2.6
4xv0,A,G0RA32,3.2.1.8
4xv1,A,P15056,2.7.11.1
4xv1,B,P15056,2.7.11.1
4xv2,A,P15056,2.7.11.1
4xv2,B,P15056,2.7.11.1
4xv3,A,P15056,2.7.11.1
4xv3,B,P15056,2.7.11.1
4xv4,A,P00431,1.11.1.5
4xv5,A,P00431,1.11.1.5
4xv6,A,P00431,1.11.1.5
4xv7,A,P00431,1.11.1.5
4xv8,A,P00431,1.11.1.5
4xv9,A,P15056,2.7.11.1
4xva,A,P00431,1.11.1.5
4xva,C,P00431,1.11.1.5
4xva,E,P00431,1.11.1.5
4xva,G,P00431,1.11.1.5
4xvb,A,P02883,?
4xvd,A,P42330,1.1.1.-
4xvd,A,P42330,1.1.1.188
4xvd,A,P42330,1.1.1.210
4xvd,A,P42330,1.1.1.239
4xvd,A,P42330,1.1.1.357
4xvd,A,P42330,1.1.1.53
4xvd,A,P42330,1.1.1.62
4xvd,A,P42330,1.1.1.64
4xvd,B,P42330,1.1.1.-
4xvd,B,P42330,1.1.1.188
4xvd,B,P42330,1.1.1.210
4xvd,B,P42330,1.1.1.239
4xvd,B,P42330,1.1.1.357
4xvd,B,P42330,1.1.1.53
4xvd,B,P42330,1.1.1.62
4xvd,B,P42330,1.1.1.64
4xve,A,P42330,1.1.1.-
4xve,A,P42330,1.1.1.188
4xve,A,P42330,1.1.1.210
4xve,A,P42330,1.1.1.239
4xve,A,P42330,1.1.1.357
4xve,A,P42330,1.1.1.53
4xve,A,P42330,1.1.1.62
4xve,A,P42330,1.1.1.64
4xvg,A,P35340,1.8.1.-
4xvh,A,A0A0J9X278,?
4xvi,A,Q7Z5Q5,2.7.7.7
4xvj,A,P27958,2.7.7.48
4xvj,A,P27958,3.4.21.98
4xvj,A,P27958,3.4.22.-
4xvj,A,P27958,3.6.1.15
4xvj,A,P27958,3.6.4.13
4xvk,A,Q7Z5Q5,2.7.7.7
4xvl,A,Q7Z5Q5,2.7.7.7
4xvm,A,Q7Z5Q5,2.7.7.7
4xvn,A,A0A1L4BKP6,?
4xvn,B,A0A1L4BKP6,?
4xvn,C,A0A1L4BKP6,?
4xvn,D,A0A1L4BKP6,?
4xvn,E,A0A1L4BKP6,?
4xvn,F,A0A1L4BKP6,?
4xvo,A,I7G323,?
4xvo,B,I7G323,?
4xvo,C,I7G323,?
4xvp,A,P42212,?
4xvp,B,P42212,?
4xvp,C,P42212,?
4xvq,A,P01112,3.6.5.2
4xvr,A,P01112,3.6.5.2
4xvs,G,H9DP89,?
4xvt,G,Q0ED31,?
4xvu,A,Q12154,3.6.-.-
4xvu,B,Q12154,3.6.-.-
4xvu,G,Q12154,3.6.-.-
4xvu,H,Q12154,3.6.-.-
4xvv,A,A6TE95,?
4xvv,B,A6TE95,?
4xvx,A,P9WQF9,1.3.99.-
4xvx,B,P9WQF9,1.3.99.-
4xvy,A,Q49492,2.1.1.237
4xvy,B,Q49492,2.1.1.237
4xvz,A,Q49492,2.1.1.237
4xvz,B,Q49492,2.1.1.237
4xvz,C,Q49492,2.1.1.237
4xvz,D,Q49492,2.1.1.237
4xw2,A,P11215,?
4xw3,A,Q92499,3.6.4.13
4xw3,B,Q92499,3.6.4.13
4xw4,A,P05132,2.7.11.11
4xw4,B,P61926,?
4xw5,A,P05132,2.7.11.11
4xw5,B,P61926,?
4xw6,A,P05132,2.7.11.11
4xw6,B,P61926,?
4xwa,A,A7WYM2,2.7.4.9
4xwa,B,A7WYM2,2.7.4.9
4xwg,A,P04180,2.3.1.43
4xwg,A,P04180,3.1.1.47
4xwh,A,P54802,3.2.1.50
4xwi,A,Q9HZM5,2.7.7.38
4xwi,B,Q9HZM5,2.7.7.38
4xwj,A,P0AFX4,?
4xwj,B,P0AA04,2.7.11.-
4xwk,A,P21447,7.6.2.1
4xwk,A,P21447,7.6.2.2
4xwl,A,O65986,3.2.1.91
4xwm,A,O65986,3.2.1.91
4xwn,A,O65986,3.2.1.91
4xwo,A,Q12154,3.6.-.-
4xwo,B,Q12154,3.6.-.-
4xwo,G,Q12154,3.6.-.-
4xwo,H,Q12154,3.6.-.-
4xwo,M,Q12154,3.6.-.-
4xwo,N,Q12154,3.6.-.-
4xwo,S,Q12154,3.6.-.-
4xwo,T,Q12154,3.6.-.-
4xwp,A,P9WJD9,?
4xwr,A,P12676,1.1.3.6
4xwr,A,P12676,5.3.3.1
4xws,A,Q9HTL4,?
4xws,B,Q9HTL4,?
4xws,C,Q9HTL4,?
4xws,D,Q9HTL4,?
4xwt,A,H9CZL7,3.1.-.-
4xwt,B,H9CZL7,3.1.-.-
4xwu,A,Q756Z6,1.1.1.205
4xww,A,H9CZL7,3.1.-.-
4xww,B,H9CZL7,3.1.-.-
4xwx,A,P29353,?
4xwy,A,P35270,1.1.1.153
4xwy,B,P35270,1.1.1.153
4xwy,C,P35270,1.1.1.153
4xwy,D,P35270,1.1.1.153
4xwz,A,O42629,?
4xwz,B,O42629,?
4xx0,A,O19069,6.2.1.4
4xx0,A,O19069,6.2.1.5
4xx0,B,P53590,6.2.1.4
4xx1,A,P04180,2.3.1.43
4xx1,A,P04180,3.1.1.47
4xx1,B,P04180,2.3.1.43
4xx1,B,P04180,3.1.1.47
4xx1,J,P04180,2.3.1.43
4xx1,J,P04180,3.1.1.47
4xx2,A,Q9PCF4,1.-.-.-
4xx2,B,Q9PCF4,1.-.-.-
4xx2,C,Q9PCF4,1.-.-.-
4xx3,A,P00797,3.4.23.15
4xx3,B,P00797,3.4.23.15
4xx4,A,P00797,3.4.23.15
4xx4,B,P00797,3.4.23.15
4xx5,A,P48736,2.7.1.137
4xx5,A,P48736,2.7.1.153
4xx5,A,P48736,2.7.1.154
4xx5,A,P48736,2.7.11.1
4xx6,A,S7Q6I2,3.2.1.8
4xx6,B,S7Q6I2,3.2.1.8
4xx7,A,P14174,5.3.2.1
4xx7,A,P14174,5.3.3.12
4xx7,B,P14174,5.3.2.1
4xx7,B,P14174,5.3.3.12
4xx7,C,P14174,5.3.2.1
4xx7,C,P14174,5.3.3.12
4xx8,A,P14174,5.3.2.1
4xx8,A,P14174,5.3.3.12
4xx8,B,P14174,5.3.2.1
4xx8,B,P14174,5.3.3.12
4xx8,C,P14174,5.3.2.1
4xx8,C,P14174,5.3.3.12
4xx9,A,O15530,2.7.11.1
4xxa,A,P81371,?
4xxa,B,P81371,?
4xxb,A,P62913,?
4xxb,B,Q00987,2.3.2.27
4xxc,A,P01889,?
4xxc,C,P61769,?
4xxd,A,P01834,?
4xxd,B,P01857,?
4xxd,C,P05067,?
4xxd,D,P01834,?
4xxd,E,P01857,?
4xxd,F,P05067,?
4xxe,A,Q5HEG2,?
4xxe,D,Q5HEG2,?
4xxf,A,A0A0J9X279,4.1.2.17
4xxg,A,P12676,1.1.3.6
4xxg,A,P12676,5.3.3.1
4xxh,A,P36673,?
4xxh,B,P36673,?
4xxi,A,P80559,4.-.-.-
4xxi,B,P80559,4.-.-.-
4xxj,A,P02945,?
4xxj,B,P02945,?
4xxj,C,P02945,?
4xxk,A,P80559,4.-.-.-
4xxk,B,P80559,4.-.-.-
4xxl,A,D5CN26,?
4xxn,A,P9WJD9,?
4xxo,A,P31941,3.5.4.38
4xxo,B,P31941,3.5.4.38
4xxp,A,Q73ZE2,?
4xxr,A,Q9L5C7,3.5.2.6
4xxr,B,Q9L5C7,3.5.2.6
4xxs,A,P56817,3.4.23.46
4xxt,A,Q97I32,?
4xxu,A,P37329,?
4xxu,B,P37329,?
4xxv,A,Q2T7H6,1.1.1.85
4xxv,B,Q2T7H6,1.1.1.85
4xxw,A,Q99PJ1,?
4xxw,B,Q99PJ1,?
4xxw,C,Q99PF4,?
4xxw,D,Q99PF4,?
4xxx,A,P9WJD9,?
4xy2,A,Q9Y233,3.1.4.17
4xy2,B,Q9Y233,3.1.4.17
4xy3,A,P9WJD9,?
4xy5,A,A0A0M3KL07,?
4xy5,B,A0A0M3KL07,?
4xy6,A,A0A0M3KL08,?
4xy7,A,D9J2T9,3.2.2.22
4xy8,A,Q9H8M2,?
4xy9,A,O60885,?
4xya,A,O60885,?
4xyb,A,G8NVB5,1.17.1.9
4xyb,B,G8NVB5,1.17.1.9
4xyc,A,P9WN38,6.3.1.2
4xyc,B,P9WN38,6.3.1.2
4xyc,C,P9WN38,6.3.1.2
4xyc,D,P9WN38,6.3.1.2
4xyc,E,P9WN38,6.3.1.2
4xyc,F,P9WN38,6.3.1.2
4xyc,G,P9WN38,6.3.1.2
4xyc,H,P9WN38,6.3.1.2
4xyc,I,P9WN38,6.3.1.2
4xyc,J,P9WN38,6.3.1.2
4xyc,K,P9WN38,6.3.1.2
4xyc,L,P9WN38,6.3.1.2
4xyc,M,P9WN38,6.3.1.2
4xyc,N,P9WN38,6.3.1.2
4xyc,O,P9WN38,6.3.1.2
4xyc,P,P9WN38,6.3.1.2
4xyc,Q,P9WN38,6.3.1.2
4xyc,R,P9WN38,6.3.1.2
4xyc,S,P9WN38,6.3.1.2
4xyc,T,P9WN38,6.3.1.2
4xyc,U,P9WN38,6.3.1.2
4xyc,V,P9WN38,6.3.1.2
4xyc,W,P9WN38,6.3.1.2
4xyc,X,P9WN38,6.3.1.2
4xyd,A,Q16A04,1.7.2.5
4xyd,B,Q16A03,1.7.2.5
4xye,A,G8NVB5,1.17.1.9
4xye,B,G8NVB5,1.17.1.9
4xyf,A,P08581,2.7.10.1
4xyg,A,G8NVB5,1.17.1.9
4xyh,A,B6K598,?
4xyi,A,B6K598,?
4xyi,B,B6JV96,?
4xyj,A,Q01813,2.7.1.11
4xyj,B,Q01813,2.7.1.11
4xyj,C,Q01813,2.7.1.11
4xyj,D,Q01813,2.7.1.11
4xyj,E,Q01813,2.7.1.11
4xyj,F,Q01813,2.7.1.11
4xyj,G,Q01813,2.7.1.11
4xyj,H,Q01813,2.7.1.11
4xyk,A,Q01813,2.7.1.11
4xyk,B,Q01813,2.7.1.11
4xyk,C,Q01813,2.7.1.11
4xyk,D,Q01813,2.7.1.11
4xyl,A,B1L3C9,?
4xyl,B,B1L7P8,?
4xyl,C,B1L3C9,?
4xyl,D,B1L7P8,?
4xym,A,B1L3C9,?
4xym,B,B1L7P8,?
4xym,C,B1L3C9,?
4xym,D,B1L7P8,?
4xyn,A,P04271,?
4xyn,B,P04271,?
4xyn,C,P04271,?
4xyn,D,P04271,?
4xyn,P,Q15109,?
4xyo,A,Q5HEG2,?
4xyp,A,C6F339,?
4xyq,A,Q5HEG2,?
4xyw,A,P0DMP6,2.4.1.306
4xyx,A,Q54727,3.2.1.18
4xyy,A,P00698,3.2.1.17
4xyz,A,P0CH28,?
4xyz,B,P0CH28,?
4xz0,A,P43403,2.7.10.2
4xz1,A,P43403,2.7.10.2
4xz1,B,P20963,?
4xz2,A,Q01813,2.7.1.11
4xz2,B,Q01813,2.7.1.11
4xz2,C,Q01813,2.7.1.11
4xz2,D,Q01813,2.7.1.11
4xz3,A,B1L3C9,?
4xz3,B,B1L7P8,?
4xz3,C,B1L3C9,?
4xz3,D,B1L7P8,?
4xz4,A,P48736,2.7.1.137
4xz4,A,P48736,2.7.1.153
4xz4,A,P48736,2.7.1.154
4xz4,A,P48736,2.7.11.1
4xz5,A,Q31FD6,4.2.1.1
4xz5,B,Q31FD6,4.2.1.1
4xz5,C,Q31FD6,4.2.1.1
4xz5,D,Q31FD6,4.2.1.1
4xz6,A,Q5LT66,?
4xz6,B,Q5LT66,?
4xz7,A,A5JSJ3,?
4xz7,B,A5JSJ3,?
4xz8,A,J3S7E7,?
4xz8,B,J3S7E7,?
4xz9,A,Q9HKI3,2.2.1.2
4xz9,B,Q9HKI3,2.2.1.2
4xz9,C,Q9HKI3,2.2.1.2
4xz9,D,Q9HKI3,2.2.1.2
4xz9,E,Q9HKI3,2.2.1.2
4xza,A,J3S7E7,?
4xza,B,J3S7E7,?
4xzb,A,C5H6X3,3.2.1.4
4xzc,A,B8PWH3,?
4xzc,B,B8PWH3,?
4xzd,A,Q66G68,?
4xzd,D,Q66G68,?
4xze,A,P27318,3.1.-.-
4xze,B,P27318,3.1.-.-
4xze,C,P27318,3.1.-.-
4xze,D,P27318,3.1.-.-
4xzf,A,Q14527,2.3.2.27
4xzf,A,Q14527,3.6.4.-
4xzg,A,Q14527,2.3.2.27
4xzg,A,Q14527,3.6.4.-
4xzg,B,Q14527,2.3.2.27
4xzg,B,Q14527,3.6.4.-
4xzg,C,Q14527,2.3.2.27
4xzg,C,Q14527,3.6.4.-
4xzg,D,Q14527,2.3.2.27
4xzg,D,Q14527,3.6.4.-
4xzg,E,Q14527,2.3.2.27
4xzg,E,Q14527,3.6.4.-
4xzg,F,Q14527,2.3.2.27
4xzg,F,Q14527,3.6.4.-
4xzg,G,Q14527,2.3.2.27
4xzg,G,Q14527,3.6.4.-
4xzg,H,Q14527,2.3.2.27
4xzg,H,Q14527,3.6.4.-
4xzg,I,Q14527,2.3.2.27
4xzg,I,Q14527,3.6.4.-
4xzh,A,P15121,1.1.1.21
4xzh,A,P15121,1.1.1.300
4xzh,A,P15121,1.1.1.372
4xzh,A,P15121,1.1.1.54
4xzh,B,P15121,1.1.1.21
4xzh,B,P15121,1.1.1.300
4xzh,B,P15121,1.1.1.372
4xzh,B,P15121,1.1.1.54
4xzi,A,P15121,1.1.1.21
4xzi,A,P15121,1.1.1.300
4xzi,A,P15121,1.1.1.372
4xzi,A,P15121,1.1.1.54
4xzj,A,A3UNN4,2.4.2.31
4xzk,A,A3UNN4,2.4.2.31
4xzl,X,O60218,1.1.1.300
4xzl,X,O60218,1.1.1.54
4xzm,X,O60218,1.1.1.300
4xzm,X,O60218,1.1.1.54
4xzn,X,O60218,1.1.1.300
4xzn,X,O60218,1.1.1.54
4xzp,A,P56470,?
4xzq,A,P84233,?
4xzq,B,P62799,?
4xzq,C,P06897,?
4xzq,D,P02281,?
4xzq,E,P84233,?
4xzq,F,P62799,?
4xzq,G,P06897,?
4xzq,H,P02281,?
4xzr,A,Q03707,?
4xzr,B,Q02821,?
4xzs,A,O43715,?
4xzs,A,P0AEX9,?
4xzs,B,O43715,?
4xzs,B,P0AEX9,?
4xzu,G,P00451,?
4xzu,M,P00451,?
4xzv,A,O43715,?
4xzv,A,P0AEX9,?
4xzv,B,Q96N28,?
4xzv,C,O43715,?
4xzv,C,P0AEX9,?
4xzv,D,Q96N28,?
4xzv,E,O43715,?
4xzv,E,P0AEX9,?
4xzv,F,Q96N28,?
4xzv,G,O43715,?
4xzv,G,P0AEX9,?
4xzv,H,Q96N28,?
4xzw,A,C5H6X3,3.2.1.4
4xzw,A,M4I2R5,3.2.1.4
4xzx,A,Q8VSD5,?
4xzy,A,B2RID1,3.4.14.-
4xzy,B,B2RID1,3.4.14.-
4xzz,A,O25255,?
4xzz,B,O25255,?
4y00,A,Q13148,?
4y00,B,Q13148,?
4y00,C,Q13148,?
4y00,D,Q13148,?
4y01,A,B2RID1,3.4.14.-
4y01,B,B2RID1,3.4.14.-
4y02,A,B2RID1,3.4.14.-
4y03,A,Q86U86,?
4y03,B,Q86U86,?
4y04,A,B2RID1,3.4.14.-
4y05,A,Q99661,?
4y06,A,V5YM14,3.4.14.-
4y06,B,V5YM14,3.4.14.-
4y07,A,O00308,2.3.2.26
4y08,A,P02794,1.16.3.1
4y0a,A,A0A0M3KL09,2.7.1.71
4y0b,A,Q93WL3,?
4y0b,B,Q93WL3,?
4y0c,A,Q8GW78,?
4y0c,B,Q8GW78,?
4y0d,A,P80147,2.6.1.19
4y0d,A,P80147,2.6.1.22
4y0d,B,P80147,2.6.1.19
4y0d,B,P80147,2.6.1.22
4y0d,C,P80147,2.6.1.19
4y0d,C,P80147,2.6.1.22
4y0d,D,P80147,2.6.1.19
4y0d,D,P80147,2.6.1.22
4y0e,A,B1MIR1,?
4y0e,B,B1MIR1,?
4y0e,C,B1MIR1,?
4y0e,D,B1MIR1,?
4y0e,E,B1MIR1,?
4y0e,F,B1MIR1,?
4y0e,G,B1MIR1,?
4y0e,H,B1MIR1,?
4y0f,A,Q13148,?
4y0f,B,Q13148,?
4y0g,A,Q9QZH4,?
4y0g,B,Q9QZH4,?
4y0h,A,P80147,2.6.1.19
4y0h,A,P80147,2.6.1.22
4y0h,B,P80147,2.6.1.19
4y0h,B,P80147,2.6.1.22
4y0h,C,P80147,2.6.1.19
4y0h,C,P80147,2.6.1.22
4y0h,D,P80147,2.6.1.19
4y0h,D,P80147,2.6.1.22
4y0i,A,P80147,2.6.1.19
4y0i,A,P80147,2.6.1.22
4y0i,B,P80147,2.6.1.19
4y0i,B,P80147,2.6.1.22
4y0i,C,P80147,2.6.1.19
4y0i,C,P80147,2.6.1.22
4y0i,D,P80147,2.6.1.19
4y0i,D,P80147,2.6.1.22
4y0j,A,P00918,4.2.1.1
4y0j,A,P00918,4.2.1.69
4y0k,A,M1SQA1,?
4y0l,A,P9WJT9,?
4y0m,A,Q9HTL4,?
4y0m,B,Q9HTL4,?
4y0m,C,Q9HTL4,?
4y0m,D,Q9HTL4,?
4y0m,E,Q9HTL4,?
4y0m,F,Q9HTL4,?
4y0m,G,Q9HTL4,?
4y0m,H,Q9HTL4,?
4y0m,I,Q9HTL4,?
4y0m,J,Q9HTL4,?
4y0m,K,Q9HTL4,?
4y0m,L,Q9HTL4,?
4y0n,A,P0A0K0,?
4y0n,B,P0A0K0,?
4y0o,A,Q2TR58,3.5.2.6
4y0p,A,P02754,?
4y0q,A,P02754,?
4y0r,A,P02754,?
4y0s,A,P02756,?
4y0t,A,Q2TR58,3.5.2.6
4y0t,B,Q2TR58,3.5.2.6
4y0t,C,Q2TR58,3.5.2.6
4y0t,D,Q2TR58,3.5.2.6
4y0u,A,Q2TR58,3.5.2.6
4y0u,B,Q2TR58,3.5.2.6
4y0u,C,Q2TR58,3.5.2.6
4y0u,D,Q2TR58,3.5.2.6
4y0v,A,C4LXL1,?
4y0v,B,C4LXL1,?
4y0w,A,A0A140UHA7,?
4y0w,B,A0A140UHA7,?
4y0w,C,A0A140UHA7,?
4y0w,D,A0A140UHA7,?
4y0w,E,A0A140UHA7,?
4y0x,A,P9WI73,2.7.11.1
4y0y,E,P00760,3.4.21.4
4y0y,I,P00974,?
4y0z,E,P00760,3.4.21.4
4y0z,I,P00974,?
4y10,E,P00760,3.4.21.4
4y10,I,P00974,?
4y11,E,P00760,3.4.21.4
4y11,I,P00974,?
4y12,A,P9WI73,2.7.11.1
4y13,A,Q8XBD0,?
4y14,A,P18031,3.1.3.48
4y14,B,P18031,3.1.3.48
4y15,A,Q8XBD0,?
4y15,B,Q8XBD0,?
4y15,C,Q8XBD0,?
4y16,A,P11609,?
4y16,B,P01887,?
4y16,C,A0A0B4J1J9,?
4y16,C,P01848,?
4y16,D,A0A5B9,?
4y16,D,A2NTY6,?
4y17,A,Q8XBD0,?
4y17,B,Q8XBD0,?
4y17,C,Q8XBD0,?
4y18,A,P38398,2.3.2.27
4y18,B,P38398,2.3.2.27
4y18,C,P38398,2.3.2.27
4y18,D,P38398,2.3.2.27
4y18,E,P38398,2.3.2.27
4y18,F,P38398,2.3.2.27
4y18,G,P38398,2.3.2.27
4y18,H,P38398,2.3.2.27
4y18,I,Q6UWZ7,?
4y18,J,Q6UWZ7,?
4y18,K,Q6UWZ7,?
4y18,L,Q6UWZ7,?
4y18,M,Q6UWZ7,?
4y18,N,Q6UWZ7,?
4y18,O,Q6UWZ7,?
4y18,P,Q6UWZ7,?
4y19,A,P01903,?
4y19,B,P01911,?
4y19,C,P01308,?
4y1a,A,P01903,?
4y1a,B,P01911,?
4y1a,C,P01308,?
4y1b,A,M1SQA1,?
4y1c,A,P12497,2.7.7.-
4y1c,A,P12497,2.7.7.49
4y1c,A,P12497,2.7.7.7
4y1c,A,P12497,3.1.-.-
4y1c,A,P12497,3.1.13.2
4y1c,A,P12497,3.1.26.13
4y1c,A,P12497,3.4.23.16
4y1c,B,P12497,2.7.7.-
